timestamp,last_close,suggestion,score,RSI,MACD,MACD_signal,SMA_50,SMA_100,BB_upper,BB_lower,reasons
2025-03-12 22:35:13,560.17,🔍 持续观察,0.5,57.85,0.64,1.07,554.49,553.32,562.2,554.7,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 22:50:15,559.68,🔍 持续观察,0.5,56.46,0.72,1.0,554.65,553.44,562.27,554.72,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:05:16,555.29,🔍 持续观察,0.5,44.93,0.45,0.89,554.76,553.53,562.37,554.29,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:20:17,553.33,🔍 持续观察,0.5,41.2,-0.06,0.68,554.81,553.61,562.9,553.13,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:35:18,550.22,✅ 可能买入机会,2.0,35.95,-0.72,0.37,554.8,553.7,563.9,551.28,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨; 价格触及布林带下轨，市场可能超卖（买入信号）
2025-03-12 23:50:19,552.02,🔍 持续观察,0.5,41.06,-0.96,0.1,554.84,553.78,564.12,550.51,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 00:05:20,555.18,🔍 持续观察,0.5,48.39,-0.86,-0.09,554.99,553.86,563.85,550.37,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 00:20:22,555.84,🔍 持续观察,0.5,49.64,-0.67,-0.19,555.2,553.97,563.77,550.36,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 00:35:23,557.31,🔍 持续观察,0.5,52.6,-0.5,-0.26,555.41,554.06,563.72,550.28,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 00:50:23,558.27,🔍 持续观察,0.5,54.64,-0.34,-0.3,555.64,554.14,563.61,550.18,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 01:05:24,558.49,✅ 可能买入机会,3.5,55.12,-0.14,-0.27,555.88,554.25,563.51,550.17,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 01:20:25,560.59,✅ 可能买入机会,3.5,58.89,0.32,-0.14,556.17,554.35,563.76,550.12,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 01:35:25,559.1,✅ 可能买入机会,3.5,55.64,0.41,-0.04,556.39,554.43,563.28,550.28,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 01:50:26,558.35,✅ 可能买入机会,3.5,53.82,0.42,0.04,556.51,554.51,562.46,550.6,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 02:05:27,558.06,✅ 可能买入机会,3.5,52.99,0.35,0.08,556.6,554.57,561.99,550.68,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
