timestamp,last_close,suggestion,score,RSI,MACD,MACD_signal,SMA_50,SMA_100,BB_upper,BB_lower,reasons
2025-03-12 22:35:16,560.59,🔍 持续观察,-0.5,57.5,2.49,1.93,547.79,562.21,562.92,546.58,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-12 23:35:17,550.32,❌ 可能卖出机会,-3.5,46.54,1.77,1.89,547.65,561.77,562.75,546.15,MACD 低于信号线，市场可能下跌; 50均线下穿100均线，长期看跌
2025-03-13 00:35:17,557.26,❌ 可能卖出机会,-3.5,53.24,1.9,1.91,547.93,561.4,562.85,546.41,MACD 低于信号线，市场可能下跌; 50均线下穿100均线，长期看跌
2025-03-13 01:35:18,559.06,🔍 持续观察,-0.5,54.88,2.02,1.94,548.12,561.02,563.31,546.38,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 02:35:19,561.36,🔍 持续观察,-0.5,56.9,2.1,1.94,548.37,560.63,563.69,546.21,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 03:35:20,565.01,🔍 持续观察,-0.5,59.96,2.61,2.07,548.97,560.29,565.32,545.98,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 04:35:21,567.96,❌ 可能卖出机会,-2.0,62.23,3.27,2.33,549.84,560.0,567.65,545.4,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌; 价格触及布林带上轨，市场可能超买（卖出信号）
2025-03-13 08:21:48,569.53,🔍 持续观察,-0.5,61.32,4.77,3.66,552.6,558.88,573.93,547.75,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 09:21:49,569.23,🔍 持续观察,-0.5,60.39,4.63,3.83,553.33,558.59,574.37,548.87,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 10:21:50,573.31,🔍 持续观察,-0.5,62.84,5.24,4.19,554.55,558.43,576.62,549.31,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 11:21:50,576.28,🔍 持续观察,-0.5,65.87,5.62,4.49,555.48,558.27,578.58,549.55,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 12:21:51,580.36,🔍 持续观察,-0.5,68.89,6.16,4.83,556.41,558.17,581.2,549.28,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 13:21:52,578.34,🔍 持续观察,-0.5,65.82,6.29,5.13,557.32,558.06,582.83,549.61,MACD 高于信号线，市场有上升趋势; 50均线下穿100均线，长期看跌
2025-03-13 14:21:53,576.43,✅ 可能买入机会,3.5,62.64,6.01,5.27,558.08,557.93,583.35,550.73,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 15:21:54,577.22,✅ 可能买入机会,3.5,62.39,6.08,5.46,558.88,557.84,584.74,551.39,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 16:21:54,579.3,✅ 可能买入机会,3.5,64.65,6.16,5.61,559.69,557.76,586.19,551.7,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 17:21:55,579.79,✅ 可能买入机会,3.5,63.9,5.92,5.63,560.07,557.66,586.32,553.69,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 18:21:56,580.02,✅ 可能买入机会,3.5,64.12,5.88,5.68,560.43,557.61,587.14,554.83,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 19:21:57,579.66,✅ 可能买入机会,3.5,62.84,5.83,5.73,560.8,557.56,586.61,558.19,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-13 20:19:39,579.15,🔍 持续观察,0.5,61.72,5.56,5.68,561.27,557.51,586.09,560.74,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-13 21:19:40,595.24,🔍 持续观察,1.0,73.21,6.57,5.85,562.19,557.62,588.85,561.72,RSI 高于 70，市场可能超买（卖出信号）; MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨; 价格触及布林带上轨，市场可能超买（卖出信号）
2025-03-13 22:19:41,594.62,🔍 持续观察,1.0,73.3,6.62,5.86,562.93,557.69,588.77,563.96,RSI 高于 70，市场可能超买（卖出信号）; MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨; 价格触及布林带上轨，市场可能超买（卖出信号）
2025-03-13 23:19:41,582.07,🔍 持续观察,0.5,61.36,5.32,5.56,563.32,557.57,585.04,567.69,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-14 00:19:42,582.61,🔍 持续观察,0.5,61.95,5.2,5.47,564.09,557.61,585.26,568.74,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-14 01:19:43,579.11,🔍 持续观察,0.5,57.51,4.67,5.28,564.65,557.69,584.89,569.65,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-14 02:19:43,574.76,🔍 持续观察,0.5,51.74,3.58,4.85,565.0,557.66,584.74,569.31,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-14 03:19:44,578.8,🔍 持续观察,0.5,55.74,3.67,4.66,565.66,557.82,584.54,570.78,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-14 04:19:45,578.6,🔍 持续观察,0.5,55.36,3.34,4.37,566.04,557.99,583.36,572.84,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
